# Standard Model thermodynamics at O(g^4) [1503.04935]                                                    
#   Disclaimer: We do not recommend taking numerical derivatives from any of the functions, but rather    
#   directly using the derivative functions listed.  Theoretical errors are on the ~ 1% level.            
# Update Dec 2019                                    
#   The decoupling of neutrinos at T < 2 MeV has been incorporated into the results.                      
# Columns:                                           
    T[MeV]    p/T^4    e/T^4    s/T^3    c/T^3    w=p/e    c_s^2    g_eff    h_eff    i_eff
    0.45166667E+02    0.14270980E+01    0.46762262E+01    0.61033242E+01    0.19998377E+02    0.30518156E+00    0.30519098E+00    0.14214023E+02    0.13913911E+02    0.15196944E+02
    0.47222222E+02    0.14447715E+01    0.47333533E+01    0.61781249E+01    0.20205343E+02    0.30523213E+00    0.30576689E+00    0.14387669E+02    0.14084436E+02    0.15354219E+02
    0.49277778E+02    0.14618334E+01    0.47871142E+01    0.62489476E+01    0.20398644E+02    0.30536839E+00    0.30634132E+00    0.14551082E+02    0.14245892E+02    0.15501111E+02
    0.51333333E+02    0.14782773E+01    0.48378013E+01    0.63160786E+01    0.20580649E+02    0.30556801E+00    0.30689405E+00    0.14705153E+02    0.14398933E+02    0.15639418E+02
    0.53388889E+02    0.14941096E+01    0.48857151E+01    0.63798247E+01    0.20753532E+02    0.30581185E+00    0.30740911E+00    0.14850793E+02    0.14544256E+02    0.15770793E+02
    0.55444444E+02    0.15093458E+01    0.49311558E+01    0.64405016E+01    0.20919297E+02    0.30608358E+00    0.30787371E+00    0.14988916E+02    0.14682583E+02    0.15896759E+02
    0.57500000E+02    0.15240086E+01    0.49744174E+01    0.64984260E+01    0.21079800E+02    0.30636927E+00    0.30827740E+00    0.15120416E+02    0.14814635E+02    0.16018727E+02
    0.59555556E+02    0.15381258E+01    0.50157849E+01    0.65539107E+01    0.21236743E+02    0.30665704E+00    0.30861185E+00    0.15246158E+02    0.14941125E+02    0.16137990E+02
    0.61611111E+02    0.15517287E+01    0.50555319E+01    0.66072605E+01    0.21391706E+02    0.30693678E+00    0.30887020E+00    0.15366974E+02    0.15062748E+02    0.16255747E+02
    0.63666667E+02    0.15648512E+01    0.50939199E+01    0.66587710E+01    0.21546164E+02    0.30719980E+00    0.30904670E+00    0.15483660E+02    0.15180178E+02    0.16373121E+02
